,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,count,total_duration
0,3,Colleges of the Fenway,42.340021,-71.100812,5,Northeastern U / North Parking Lot,42.341814,-71.090179,6,2047
1,3,Colleges of the Fenway,42.340021,-71.100812,12,Ruggles Station / Columbus Ave.,42.335910999999996,-71.08849599999999,1,347
2,3,Colleges of the Fenway,42.340021,-71.100812,14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171000000005,-71.102797,1,97
3,3,Colleges of the Fenway,42.340021,-71.100812,19,Buswell St. at Park Dr.,42.347241,-71.105301,2,719
4,3,Colleges of the Fenway,42.340021,-71.100812,20,Aquarium Station - 200 Atlantic Ave.,42.359770000000005,-71.051601,1,1454
5,3,Colleges of the Fenway,42.340021,-71.100812,23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,1,1380
6,3,Colleges of the Fenway,42.340021,-71.100812,39,Washington St. at Rutland St.,42.33849279283789,-71.07401937246324,1,614
7,3,Colleges of the Fenway,42.340021,-71.100812,47,Cross St. at Hanover St.,42.362811,-71.056067,1,1188
8,3,Colleges of the Fenway,42.340021,-71.100812,151,John F Fitzgerald - Surface Road at India Street,42.358155,-71.05216300000001,2,2439
9,4,Tremont St. at Berkeley St.,42.345392,-71.069616,7,Fan Pier,42.35328743453294,-71.0443890094757,1,831
10,4,Tremont St. at Berkeley St.,42.345392,-71.069616,14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171000000005,-71.102797,1,804
11,4,Tremont St. at Berkeley St.,42.345392,-71.069616,16,Back Bay / South End Station,42.34807412317439,-71.07657015323639,2,412
12,4,Tremont St. at Berkeley St.,42.345392,-71.069616,22,South Station - 700 Atlantic Ave.,42.352175,-71.055547,10,4273
13,4,Tremont St. at Berkeley St.,42.345392,-71.069616,23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,7,3621
14,4,Tremont St. at Berkeley St.,42.345392,-71.069616,36,Boston Public Library - 700 Boylston St.,42.349672999999996,-71.077303,1,740
15,4,Tremont St. at Berkeley St.,42.345392,-71.069616,39,Washington St. at Rutland St.,42.33849279283789,-71.07401937246324,2,772
16,4,Tremont St. at Berkeley St.,42.345392,-71.069616,42,Boylston St. at Arlington St.,42.352550064656526,-71.06782078742981,1,291
17,4,Tremont St. at Berkeley St.,42.345392,-71.069616,44,Faneuil Hall - Union St. at North St.,42.360613,-71.057452,1,534
18,4,Tremont St. at Berkeley St.,42.345392,-71.069616,46,Christian Science Plaza,42.343864,-71.085918,7,4138
19,4,Tremont St. at Berkeley St.,42.345392,-71.069616,49,Stuart St. at Charles St.,42.351146,-71.066289,3,715
20,4,Tremont St. at Berkeley St.,42.345392,-71.069616,51,Washington St. at Lenox St.,42.3348756,-71.07909690000001,1,421
21,4,Tremont St. at Berkeley St.,42.345392,-71.069616,57,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,1,324
22,4,Tremont St. at Berkeley St.,42.345392,-71.069616,58,The Esplanade - Beacon St. at Arlington St.,42.355596000000006,-71.07278000000001,4,1949
23,4,Tremont St. at Berkeley St.,42.345392,-71.069616,59,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.05936700000001,4,14219
24,4,Tremont St. at Berkeley St.,42.345392,-71.069616,81,Boylston St / Washington St,42.352409,-71.062679,2,596
25,4,Tremont St. at Berkeley St.,42.345392,-71.069616,85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,1,1320
26,4,Tremont St. at Berkeley St.,42.345392,-71.069616,151,John F Fitzgerald - Surface Road at India Street,42.358155,-71.05216300000001,1,658
27,4,Tremont St. at Berkeley St.,42.345392,-71.069616,152,Ink Block,42.345901,-71.063187,1,164
28,4,Tremont St. at Berkeley St.,42.345392,-71.069616,177,University Park,42.36264779118595,-71.1000609397888,1,1320
29,4,Tremont St. at Berkeley St.,42.345392,-71.069616,178,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,1,1067
30,5,Northeastern U / North Parking Lot,42.341814,-71.090179,3,Colleges of the Fenway,42.340021,-71.100812,6,2510
31,5,Northeastern U / North Parking Lot,42.341814,-71.090179,5,Northeastern U / North Parking Lot,42.341814,-71.090179,6,13828
32,5,Northeastern U / North Parking Lot,42.341814,-71.090179,8,Union Square - Brighton Ave. at Cambridge St.,42.353334000000004,-71.137313,2,2887
33,5,Northeastern U / North Parking Lot,42.341814,-71.090179,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000001,1,844
34,5,Northeastern U / North Parking Lot,42.341814,-71.090179,16,Back Bay / South End Station,42.34807412317439,-71.07657015323639,1,511
35,5,Northeastern U / North Parking Lot,42.341814,-71.090179,22,South Station - 700 Atlantic Ave.,42.352175,-71.055547,3,2355
36,5,Northeastern U / North Parking Lot,42.341814,-71.090179,25,Tremont St / W Newton St,42.341332,-71.076847,1,650
37,5,Northeastern U / North Parking Lot,42.341814,-71.090179,32,Landmark Centre,42.343911999999996,-71.102221,6,6594
38,5,Northeastern U / North Parking Lot,42.341814,-71.090179,33,Kenmore Sq / Comm Ave,42.348706,-71.097009,1,402
39,5,Northeastern U / North Parking Lot,42.341814,-71.090179,39,Washington St. at Rutland St.,42.33849279283789,-71.07401937246324,1,440
40,5,Northeastern U / North Parking Lot,42.341814,-71.090179,46,Christian Science Plaza,42.343864,-71.085918,2,434
41,5,Northeastern U / North Parking Lot,42.341814,-71.090179,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.08410500000001,1,742
42,5,Northeastern U / North Parking Lot,42.341814,-71.090179,159,Heath St at South Huntington,42.32797270205962,-71.11089706420898,1,758
43,5,Northeastern U / North Parking Lot,42.341814,-71.090179,177,University Park,42.36264779118595,-71.1000609397888,4,2576
44,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,1,88
45,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,7,Fan Pier,42.35328743453294,-71.0443890094757,1,640
46,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.10827900000001,1,1025
47,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,16,Back Bay / South End Station,42.34807412317439,-71.07657015323639,1,665
48,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,19,Buswell St. at Park Dr.,42.347241,-71.105301,2,3386
49,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,20,Aquarium Station - 200 Atlantic Ave.,42.359770000000005,-71.051601,1,389
50,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,21,Prudential Center / Belvidere,42.345959,-71.082578,1,645
51,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,5,1553
52,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,25,Tremont St / W Newton St,42.341332,-71.076847,1,757
53,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,32,Landmark Centre,42.343911999999996,-71.102221,2,2053
54,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,36,Boston Public Library - 700 Boylston St.,42.349672999999996,-71.077303,9,8310
55,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,39,Washington St. at Rutland St.,42.33849279283789,-71.07401937246324,1,1738
56,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,42,Boylston St. at Arlington St.,42.352550064656526,-71.06782078742981,2,1370
57,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,43,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,5,1825
58,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,44,Faneuil Hall - Union St. at North St.,42.360613,-71.057452,1,216
59,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,46,Christian Science Plaza,42.343864,-71.085918,1,871
60,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,47,Cross St. at Hanover St.,42.362811,-71.056067,4,1077
61,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,49,Stuart St. at Charles St.,42.351146,-71.066289,1,397
62,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,54,Tremont St / West St,42.354979,-71.063348,1,365
63,6,Cambridge St. at Joy St.,42.361174,-71.06514200000001,58,The Esplanade - Beacon St. at Arlington St.,42.355596000000006,-71.07278000000001,1,712
